906531,Cardinal Local School District
7468210,Cardinal Newman School
730,"Cardinal Stritch Univ, Inc."
909486,Care and Counseling Center of Georgia
600094,Carlisle Local Schools
900035,Carlos Rosario International Career Ctr and Public Charter School
909013,Carroll County School District
909237,Carrollton CUSD #1
907884,Cartersville School System
755,Carthage College
612619,Castle Rock School District
770,Castleton State College
775,Catawba College
908264,Cathedral Catholic High School
906214,Cathedral High School
906379,Catholic Diocese of Raleigh
906474,Catholic Schools of Greater Kalamazoo
785,Cazenovia College
906646,Cedar Rapids Community School District
900037,"Cedar Ridge Children's Home and School, Inc."
906459,Celina City Schools
800,Centenary College
908687,Center for Early Education
909723,Center For Excellence In Higher Education
815,Central College
817,Central Connecticut State Univ
900143,Central Kitsap School District #401
823,Central Methodist Univ
834,Central Oregon Community College
909001,Central Private School
835,Central State Univ
908121,Central Wyoming College
7095,Cerritos College
908452,Chabad Hebrew School
855,Chadwick School
857,Chaffey College
900272,Chagrin Falls Board of Education
903248,Challenger School
600026,Chaminade Madonna College Prep School
906234,"Chanute Public Schools, USD 413"
909567,Chapin Hall at the University of Chicago
907273,Chapin School
860,Chapman Univ
900275,Chardon Schools
908957,Charles R. Drew Charter District
600065,Charleston CUSD 1
908495,Charter Oak Unified School District
902715,Charter Schools USA
871,Chatfield College
908881,Chequamegon School District
902817,Cherokee County School District
900142,Chester County Intermediate Unit #24
889,Chestnut Hill Academy
907812,Chestnut Ridge School District
906286,"CHG Alternative Education, Inc."
881,Chicago Academy for the Arts
908688,Chicago ORT Technical Institute
906642,"Children of America, Inc."
7998,Children's National Medical Center
907,Choate Rosemary Hall
910,Chowan Univ
908964,Chowchilla Elementary School District
908263,Christ Academy
7468116,Christ Church Episcopal School
907450,Cicero Public School District 99
902238,City College of Florida
905263,Claflin Univ
907185,Claremont Unified School District
905990,Clarendon County School District Three
954,Clark State Community College
965,Clarke School for the Deaf
956,Clarke Univ
906330,Clark-Shawnee Local Schools
970,Clarkson Univ
901976,Clayton State Univ
600039,Cle Elum-Roslyn School District
906516,Clear Horizons Academy
908842,Clearview Local Schools
905162,Cleary School for the Deaf
907862,Cleveland City Schools
908758,Climax Springs R-4 Schools
978,Clinch Valley College of the Univ of Virginia
908316,Clinton Community School District
901838,Clovis Community College
908219,Clovis Municipal Schools
906317,Clyde-Green Springs Exempted Village School District
903101,Coldspring Oakhust CISD
1011,Coleman Univ
907813,College of Coastal Georgia
908204,College of Idaho
881626,College of Mt St Joseph
1031,College of New Rochelle
902256,College of Southern Idaho
882250,College of St Joseph
1034,College of the Mainland
901878,College of the Marshall Islands
1017,College Preparatory School
909495,Collegedale Academy
1018,Collegiate School
711373,Colorado Northwestern Community College
1113,Colorado Rocky Mountain School
901805,Colorado State Univ - Global Campus
905088,Colquitt County Board of Education
908865,Columbia County School District
1128,Columbia Greene Community College
903102,Columbia Southern Univ
600031,Community Care College
1152,Community College Allegheny County
903116,Community College of Aurora
908761,Community High School 155
906335,Community Unit School District No. 200
905276,Concord Univ
1175,Concordia College
36,Concordia College - Alabama
1185,Concordia Seminary
1180,Concordia Univ
906250,Concordia Univ - Portland
1170,Concordia Univ Wisconsin
900858,Connally ISD
907755,Conneaut Area City Schools
909814,Connelly School of the Holy Child
909121,Consolidated School District 158
907965,Convent of the Visitation School
1233,Cooper Union for the Advancement of Science and Art
906373,Coos Bay School District
909220,Coquille School District #8
1235,Cornell College
1253,Cornish College of the Arts
901986,Corona-Norco Unified School District
900733,Cosmos Foundation
1262,Covenant Theological Seminary
1261,Cowley County Community College
619380,Craig County Public Schools
2495,Cranbrook Educational Community
908797,Crawford County Career and Technical Center
906734,Crawford County School District
901229,Crawfordsville Community School Corp
908716,"Creative Achievement Academy, LLC"
900105,Creative Center of Los Altos DBA Pinewood School
688854,Crescent City Christian School
908011,Crestwood Local School District
906612,CRISTA Ministries
903188,Criswell College
908340,Crofton Community School
907261,Crosby Independent School District
908154,"Crosswood, Inc."
1284,Crotched Mountain Foundation School Special Education
906601,Cullman County Board of Education
1295,Culver-Stockton College
904921,Cumberland County College
902730,Cumberland County Schools
1307,Curry College
908355,D.C. Everest Junior High
902648,Dakota State Univ
1324,Dallas Theological Seminary
1312,Dalton School
901368,Dalton State College
906295,Damar Services
1325,Dana Hall School
906593,Darkei Chaim School
7000,Darton College
908965,David Posnack Jewish Day School
908613,"Daymar Colleges Group, Inc."
600009,Decorah Community School District
906297,Defiance City School District
1370,Defiance College
901163,Delaware Community School Corp
906805,Denair Unified School District
901453,Denver Public Schools
902366,Derby Unified School District 260
1399,Derryfield School
906410,Desert Sands Unified School District
906216,Diman Regional Vocational Technical High School
906664,Dimmitt Independent School District
900056,Diocese of Rockville Centre
902150,District School Board of Collier County
906752,Divers Institute of Technology
1417,Dixie State Univ
1425,Doane College
900012,Dominican College
900172,Dominican Univ of California
906513,Don Bosco Cristo Rey High School
906562,Don Bosco Technical Institute
908635,Dorchester School District 4
1429,Dordt College
1431,Dowling College
906615,Driscoll Children's Hospital
906280,DSST Public Schools
906836,Dublin City School District
1448,Duchesne Academy of the Sacred Heart
908173,Duncanville Independent School District
7468128,Dunham School
1465,Dunwoody College of Technology
1469,Durham Academy
1471,Dwight-Englewood School
908691,Dyersburg State Community College
900447,East Cleveland City School District
907874,East Georgia State College
900881,East Hartford Public Schools
900086,East Poinsett County School District
908216,East Ramapo Central School District
905135,East Side Union High School District
907184,East Whittier City School District
565,Eastern Florida State College
1507,Eastern Idaho Technical College
1504,Eastern Mennonite Univ
1510,Eastern Nazarene College
151201,Eastern New Mexico Univ - Roswell
906783,Eastmont School District No. 206
908816,Echo Foundation
909300,Edgefield County School District
906741,Education Achievement Authority of Michigan
908258,Educational Service Center of Lake Erie West
908603,Edward Via Virginia College of Osteopathic Medicine
905154,El Monte Union High School District
909308,El Paso-Gridley CUSD No. 11
906235,El Rancho Unified School District
1555,Elizabethtown College
865,Ellis School
1565,Elmira College
600060,Elmwood Community School
905085,Emanuel County Board of Education
906851,Embassy CES - Long Beach
909180,Emery Unified School District
908935,Emmanuel College
1578,Emmanuel College
1600,Endicott College
909163,"Envision, Inc."
1606,Episcopal High School
901819,Episcopal School of Dallas
1612,Essex County College
909371,Estherville Lincoln Central Community School District
902388,Etiwanda School District
900457,Euclid Board of Education
908637,Eureka City Schools
907931,Eureka Springs Public Schools
902780,Everest Univ - Tampa
1632,Everett Community College
909112,Evergreen School District
906013,Everman Independent School District
906457,Fairborn City Schools
908248,Fairbury Public Schools
906645,Fairfield City Board of Education
908256,Fairless Local School District
628072,Fairview Independent Schools
908650,Faith Evangelical Lutheran Church & School
909251,Faith Heritage School
900103,Fashion Institute of Design & Merchandising (FIDM)
903097,Faulkner Univ
908698,Federal Hocking Local School District
900101,Felician College
1660,Ferrum College
906650,First Assembly of God/Christian Academy
903215,First Baptist Academy
4644,Fitchburg State Univ
907810,Flashpoint The Academy of Media Arts & Sciences LLC
1683,Flathead Valley Community College
905960,Florence County School District Three
905105,"Florida Coastal School of Law, Inc."
909813,Florida Futures Charter School
906182,Florida Virtual School
600021,FNSB School District
906635,"Focus Learning Academy, Inc."
7215,Foothill - De Anza Community College
902012,Forney ISD
906502,Forrestville Valley School District No. 221
629574,Fort Osage R-1 School District
1744,Fort Scott Community College
901174,Fort Wayne Community Schools
906329,Fostoria City Schools
900136,Fox C-6 School District
906574,Fox Chapel Area School District
4643,Framingham State Univ
1758,Francis Parker School
1738,Francis Tuttle Vocational Tech
630035,Franklin City Public Schools
906413,Franklin Independent School District
907186,Fremont City Schools
630553,Fremont School District 79
905707,Fresno Unified School District
1753,Friends Academy
906709,Friends School Corp
1770,Friends Univ
905708,Friona Independent School District
1780,Fuller Theological Seminary
902891,Galion City School District
906756,Gateway School District
631706,Gaylord Community Schools
906557,Geary County USD 475
906518,Geneva Area City Schools
1810,Geneva College
1820,George School
906294,Georgetown Day School
903117,Georgia Department of Education
905319,Georgian Court Univ
909019,Gibson City - Melvin - Sibley CUSD 5
1870,Gilman School
1875,Girard College
909344,Girls' School of Austin
908596,Glassboro Board of Education
1878,Glen Oaks Community College
903072,Glendale Unified School District
905322,Glenville State College
900474,Global Educational Excellence
906575,Gogebic Community College
1885,Golden Gate Baptist Theological Seminary
1884,Golden Gate Univ
908555,Golf School District 67
600085,Goodpasture Christian School
1895,Goshen College
1910,Governor Dummer Academy
900476,Governor Wentworth Regional School District
906193,Grace Baptist Temple
1925,Grace College & Seminary
1920,Graceland Univ
1935,Graduate Theological Union
902410,Grady County School District
903216,Grand Island Public Schools
903225,Grand Prairie Independent School District
901396,Grand Valley Local Schools
1955,Grand View Univ
902899,Grayslake Community HSD 127
905006,Greater New Bedford Regional Vocational Technical High School
906604,Green Bay Area Public Schools
908182,Green Hills AEA
1959,Green Vale School
1962,Greenfield Community College
1968,Greensboro College
901177,Greensburg Community Schools
1960,Greenville College
1972,Greenwich Academy
1974,Greenwich Country Day School
909127,"Greenwood Genetic Center, Inc."
902900,Grosse Ile Township Schools
902772,Grossmont Union High School District
900044,"Gunnery, Inc."
903234,Gunnison Watershed School District
615451,Gwendolyn Brooks College Preparatory Academy
906739,Haas Hall Academy
906563,Hall County Board of Education
908300,Hamburg Central School District
907209,Hamilton City School District
901076,Hamilton Heights School Corp
901401,Hamilton School District
2032,Hampshire College
600005,Hanover Public School District
2055,Hardin-Simmons Univ
909497,Harmony Public Schools
905133,Harrisburg Univ of Science and Technology
909222,Harrison County Schools
2068,Harris-Stowe State Univ
906205,Hart County Board of Education
2065,Hartford Seminary
903257,Hartland Lakeside School District
908924,Harvey School
908352,Hawaiian Mission Academy K-8
908617,Haywood Community College
600053,Head-Royce School
906411,Helen Y. Davis Leadership Academy Charter Public School
2100,Henderson State Univ
902770,Henry County Schools
901285,"Henry Ford Academies of Illinois, NFP"
906565,Heritage Christian School
905992,Heritage Christian Univ
600104,Heritage College
2112,Heritage Hall
713942,Heritage University
909028,Hernando County Schools
907410,Herriman High School
907388,Hesperia Unified School District
2111,Hewitt School
2116,Highland Community College
906539,Highland Local Schools
2117,Highline Community College
900490,Hilliard City School District
2135,Hiram College
1075,Hobart & William Smith Colleges
2158,Hockaday School
7291,Hocking Technical College
906607,Holden R-III School District
2142,Holderness School
906189,Holland Public Schools
908360,Hollywood Schoolhouse
901458,Holy Name School
906655,Holy Rosary Church
692973,Holy Savior Menard High School
904924,Homewood City School District
907961,Hongwanji Mission School
906623,Honors Academy
2155,Hood College
904940,Hope Christian Academy
909071,HOPE Christian Schools
906464,Hopewell Valley Regional School District
2180,Hotchkiss School
2185,Houghton College
2190,Houston Baptist Univ
901887,Houston County Board of Education
2200,Howard Payne Univ
907376,Hudson Independent School District
2210,Hun School of Princeton
2220,Huntingdon College
906603,Huntington Beach Union High School District
2225,Huntington Univ
907981,Huntley Project School District #24
2231,Husson Univ
902443,IDEA Public Schools
909215,Idyllwild Arts Foundation
2241,Illinois College of Optometry
908181,Imagine Charter School at Firestone
909261,Imagine Schools
600071,Imagine Schools Chancellor Campus
908177,Immaculata Univ
905008,Incarnate Word Academy
908442,Independent School District 112
600027,Indian Creek School District
2271,Indian Mountain School
2275,Indiana Institute of Technology
905722,Ingham Intermediate School District
906807,Inkster Public Schools
903134,Inly School
917,Institute for Creation Research
907886,Intermediate District 287
908808,International Academy of Smyrna
909349,International Education Corp
909160,International Leadership of Texas
909767,"Invent Now, Inc."
2305,Iona College
908433,Iowa Lakes Community College
640389,Iowa Park Consolidated ISD
2320,Iowa Wesleyan College
2328,Jackson Community College
907218,Jackson Local School District
907371,James Sprunt Community College
909168,Jared C. Bruce Academy
2336,Jarvis Christian College
902451,Jefferson Area Local School District
2337,Jefferson College
2382,Jesuit School of Theology at Berkeley
2342,Jewish Theological Seminary of America
2354,John Brown Univ
2358,John Cooper School
2356,John F Kennedy Univ
901914,Johnson & Wales Univ - Denver
901801,Johnson County Schools
2363,Johnson Univ
2368,Jones College
903224,Jones County School System
900046,Jonesboro Public Schools
905728,Joplin Schools
908175,Joseph Badger Local School District
668438,Joseph Keels Elementary
909223,JTC Academy
2385,Juniata College
907311,Kalama School District No. 502
2395,Kalamazoo College
2396,Kalamazoo Valley Community College
2398,Kankakee Community College
642531,Karns City Area School District
905024,Keene School District
900106,Kenai Peninsula Borough School District
901834,Kennewick School District #17
901407,Kenston Local School District
2434,Kent Denver Country Day School
906222,Kent Intermediate School District
2455,Kentucky Wesleyan College
2465,Keuka College
708017,Kew Forest School
906644,Keystone Area Education Agency
2477,Kiamichi Technology Center
906475,Kildeer School District 96
2475,Kimball Union Academy
905928,Kindred Public School
906499,Kingdom Charter School of Leadership
900113,"King's Academy, Inc."
905149,Kingsway Learning Center
7418,Kinkaid School Inc
909782,KIPP Colorado Schools
909429,KIPP Endeavor Academy
906529,KIPP Inc
905018,KIPP Metro Atlanta Collaborative
908639,KIPP NYC Schools
908767,Kirbyville Consolidated Independent School District
902046,Kirkwood School District R-7
2492,Kirtland Community College
906763,Klamath Community College
643918,Kodiak Island Borough School District
908862,Komarek School District 94
906187,Kuyper College
909119,"La Causa, Inc."
2531,La Roche College
909128,La Vergne High School
905104,Lago Vista Independent School District
908931,LaGrange College
909182,Lake County High Schools Technology Campus
2515,Lake Erie College
2522,Lake Michigan College
908611,Lake Mills Area School District
2509,Lake Washington Institute of Technology
644855,Lake Zurich Community Unit School District 95
906659,Lakeside School
909785,Lakeside Youth Service
906731,Lakeview Local School District
902787,Lakewood Public Schools
909698,Lamar State College-Port Arthur
906549,Lamesa Independent School District
906320,Lancaster City Schools
903252,Lancaster General College of Nursing & Health Sciences
901451,Lancaster School District
909048,Lancaster-Lebanon Intermediate Unit 13
882252,Landmark College
694987,Landon School
2538,Lane Community College
908645,Lane County School District 4J
907909,Langley School
907250,Lanier Technical College
2561,Laramie County Community College
645480,Larkspur-Corte Madera School District
908560,Latin Academy Charter School
901325,Lawrence County Board of Education
907271,Lawson State Community College
695060,Le Jardin Academy
2575,Le Moyne College
901725,Lebanon City Schools
907863,LECOM School of Dental Medicine
2563,Lee College District
902053,Lee County Board of Education
909287,Leesville R9 School District
909793,Legacy Preparatory Charter Academy
2590,LeTourneau Univ
2595,Lewis & Clark College
2601,Lewis Clark State College
903227,Liberty Hill Independent School District
906209,Liberty Union High School District
2616,Life Univ
906332,Lima City School District
902683,Lincoln Christian Univ
906640,Lincoln College of Technology
906585,Lincoln County School District No. 2
909424,Lincoln High School
2619,Lincoln Univ
2620,Lincoln Univ
647326,Lind School District
2622,Linden Hall School for Girls
2632,Linn-Benton Community College
909218,Little Rock Christian Academy
906637,Little Rock Preperatory Academy
647645,Littlestown Area School District
906551,Livermore Valley Joint Unified School District
2635,Livingstone College
908664,Livonia Central School
905749,Lodi Unified School District
906569,Long Island School for the Gifted
901811,Longwood Central School District
715428,Louisiana Delta Community College
2706,Lower Columbia College
905757,Lubbock-Cooper Independent School District
2745,Lyndon State College
909465,Lynn Public Schools
2755,MacMurray College
905032,Madera County Office of Education
903099,Madison County Board of Education (GA)
906749,Madison Local School District
903144,Madison Parish School Board
2794,Madonna Univ
908518,Maimonides Day School - Chabad
901294,Maine College of Art
900039,Maine School Administrative District No. 61
2796,Maine Technical College System
2790,Malone College
905916,Management Council of the Ohio Education Computer Network (MCOECN)
2797,Manchester Community College
2795,Manchester Univ
906407,Manhattan-Ogden USD #383
2802,Manhattanville College
900171,"Manipal Education Americas LLC, Agent for AUA"
908803,Maple Village School
908148,Maranatha High School
907244,Marble Falls Independent School District
651013,Marengo-Union Elementary Consolidated School District 165
909775,Marian High School
909771,Mariemont City School District
907963,Marin Primary & Middle School
696179,Mars Hill Bible School
907976,Marshall Public Schools
906200,Marshfield Public Schools
906519,Martin County School District
903094,Martin Public Schools
651608,Martinez Unified School District
696229,Mary McDowell Friends School
907189,Maryknoll School
906245,"Masoras Avos, Inc."
2685,Master's College
906289,Mathis Independent School District
2918,Maumee Valley Country Day School
908257,Maxwell Public Schools
2925,Mayville State Univ
5730,McDaniel College
900066,McEwen Elementary
5296,McGeorge School of Law
906571,McKinley Children's Center
2773,McLennan Community College
2780,McPherson College
908876,Medaille College
906667,Mehlville School District
3001,Memorial Health Univ Medical Center
906293,Memphis City Schools
713632,Memphis College of Art
652879,Menasha Joint School District
908526,Mendon Upton Regional School District
2952,Menlo College
906552,Menlo School
624591,Mentorship Academy
2953,Merced College
2963,Mercy College
2970,Mercyhurst Univ
902776,Mesa County Valley School District 51
2990,Messiah College
3013,Metro Technology Centers
906580,Metropolitan Educational Solutions
2998,Miami Country Day School
7969,Mid Pacific Institute
2783,Middle Georgia State College
3024,Middlesex County College
901862,Middleton-Cross Plains Area School District
906418,Middletown Board of Education
907807,Midland Christian School
3035,Midland Univ
881346,Mid-Plains Community College
905408,Mid-South Community College
908621,Midtown International School
3047,Midwestern State Univ
907839,Midwestern Univ
3050,Miles College
906665,Miles Community College
905938,Millbrae School District
3085,Milton Academy
908163,MIND Research Institute
3099,Minneapolis Institute of Arts
906318,Minster Local Schools
909770,Missoula County Public Schools
600055,MOC-Floyd Valley CSD
908504,Mohawk Area School District
2756,Molloy College
3135,Monmouth College
3152,Monroe County Community College
906554,Monroe County School District
906412,Monroe Local Schools
909076,Monrovia Unified School District
3141,Montcalm Community College
3137,Montclair Kimberley Academy
3128,Montclair State Univ
710227,Montessori School of Ruston
3143,Montgomery County Community College
